stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\gustavo.pneumann\source\repos\Project1\x64\Debug\allegro5.cfg r
system   D            wsystem.c:834  maybe_parent_dir                 [   0.00000] Also searching C:\Users\gustavo.pneumann\source\repos\Project1\x64\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:795  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:798  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.8
audio-dsound I           dsound.cpp:275  _dsound_open                     [   0.00031] Starting DirectSound...
audio-dsound D           dsound.cpp:288  _dsound_open                     [   0.03982] DirectSoundCreate8 succeeded
audio-dsound I           dsound.cpp:77   get_window                       [   0.04011] Using desktop window: 0000000000010010
audio    I              audio.c:391  do_install_audio                 [   0.04078] Using DirectSound driver
audio-dsound D           dsound.cpp:322  _dsound_allocate_voice           [   0.04113] Allocating voice
audio-dsound D           dsound.cpp:381  _dsound_allocate_voice           [   0.04126] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.04137] added dtor for voice 0000020D913273C0, func 00007FFDA2631168
dtor     D               dtor.c:196  _al_register_destructor          [   0.04149] added dtor for mixer 0000020D913141D0, func 00007FFDA263147E
audio-dsound D           dsound.cpp:477  _dsound_start_voice              [   0.04162] Starting voice
audio-dsound D           dsound.cpp:505  _dsound_start_voice              [   0.04174] CreateSoundBuffer
audio-dsound D           dsound.cpp:513  _dsound_start_voice              [   0.04390] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:519  _dsound_start_voice              [   0.04414] Starting _dsound_update thread
audio-dsound I           dsound.cpp:529  _dsound_start_voice              [   0.04513] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.04528] added dtor for sample_instance 0000020D913257A0, func 00007FFDA2631226
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04550] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04561] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04573] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04588] added dtor for timer 0000020D912D6100, func 00007FFD44E81050
system   D            wsystem.c:834  maybe_parent_dir                 [   0.04615] Also searching C:\Users\gustavo.pneumann\source\repos\Project1\x64\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.04668] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:795  load_library_at_path             [   0.04680] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:798  load_library_at_path             [   0.05494] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.13127] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.13335] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.13357] al_display=0000020D9137B1D0
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.13377] al_display->vt=0000020D93428D60
